trided Brownbul
White-collared White-eye
Cangan Corant
Gray-billed Spinetail
Parian Spinetail
Pale-tailed Woodpecker
Black-breasted Fruit-Owl
Swallow Shrike-Dove
Rufous-bellied Shrike-Dove
Speckled Honeyeater
Pinged Bulbul
Black-collared Wren
White-throated Parrot
Stripe-breasted Myna
Gray-headed Antbird
Spotted Starling
Gray-breasted Parrot
Black-crowned Banbird
White-breasted Honeyeater
Black-throated Shrike
Chestnut-billed Manakin
Striok-billed Mountain
Spotted Spinetail
Black-breasted Honeyeater
Red-tailed Woodpecker
Green-breasted Woodpecker
Blue-bellied Kingfisher
Black-throated Hummingbird
Rufous-breasted Boobook
Gray-breasted Flycatcher
Black-billed Parrot
Streak-breasted Bush Parrot
Black-capped Fruit-Owl
Dork-billed Scops-Owl
Black-billed Swallow
Black-breasted Fruit-Dove
Spotted Babbler
Black-backed Pitta
Black-billed Cuckooshrike
Streak-winged Honeyeater
Sala Selarrous Greenbul
Red-crowned Antshrike
Gray-headed Scops-Owl
Condone-billed Tody-Warbler
Black-backed Treebird
Brown-bellied Golden
Santa Coodinga
Streak-billed Shite-eye
Black-bellied Cuckooshrike
Black-throated Woodpecker
Stripe-breasted Tit
Southern Parakeet
White-breasted Barbin
Stripe-browed Parrot
Black-breasted Trinia
Black-capped Barbet
Black-capped Tit
Serian Cuckoo
Black-throated Bulbul
Black-capped Wood-Parrot
Black-tailed Babbler
Black-throated Scowl
Pale-breasted Tit
Buff-breasted Woodpecker
Black-billed Parakeet
Black-breasted Woodpecker
Marasan Tataculo
Spotted Woodpecker
Buff-breasted Woodpecker
Chestnut-breasted Spinetail
Black-bellied Parrot
Black-bellied Tit
Southern Starling
Black-billed Shark
Sericher Bulbul
Southern Mancola
Streak Woodpecker
Black-tailed Woodpecker
Spatter Woodpecker
Tadagastar Parakeet
Mashy Starling
Black-crowned Parrot
Brown-billed Parrot
Snopper Flycatcher
Blue-breasted Bushshrike
Cornesh Woodpecker
Suland's Corant
Rufous-tailed Pygmy-Owl
Spot-breasted Cuckoo
Spotted Parrot
Black-crowned Parrot
Striated Antpitta
Banded Coody-Owl
Rufous-winged Boubou
Red-chested Parrot
Black-tailed Bulbul
Spotted Woodpecker
Red-breasted Barbet
Langsing Warbler
White-throated Bulbul
Sula Black-billed Antwren
Black-breasted Antbird
Striated Woodpecker
Black-bellied Cuckoo
Cormon Antthrow
Rufous-breasted Scruck-Petrel
Gray-breasted Woodpecker
Chestnut-bellied Barbet
Simper Flycatcher
Sulacan Scrubwren
Little Woodpecker
Jagasian Cisticola
White-breasted Stornetail
Tatingui Warbler
Great White-eye
Gray-headed Flycatcher
Black-breasted Tit
Leat Stillet
Bare-backed Manakin
Strappert Duck
Swallow-fronted Woodpecker
Sinder's Warbler
Crested Bush Crake
Great Scops-Owl
Bare-bellied Parrot
Black-headed Woodpecker
Black-throated Black-Parrot
Black-collared Woodpecker
Chestnut-breasted Grangint-Owl
Black-throated Parrot
Blue-breasted Tapaculo
Black-breasted Parrot
Black-breasted Woodpecker
Spotted Barbet
Black-crowned Flycatcher
Pale-bellied Woodpecker
Gray-headed Honeyeater
Least Warbler
Black-backed Babbler
Pale-throated Cuckoo
Sanda Corner
Striated Tit
Rufous-breasted Cuckoo
White-breasted Green-Pigeon
Brown-breasted Woodpecker
Rufous-fronted Cuckoo
Gray-cheeked Scops-Owl
Black-crowned Screech-Dove
Chestnut-breasted Woodpecker
Black-breasted Potie
Chestnut-backed Swift
Sapa Pigeon
Hauritian Parrot
Red-chested Bulbul
Mattaile Petrel
White-backed Barbet
Speckled Tit
Common Woodcreeper
Sandern Warbler
Sillow Tit
Parian Green-Parrot
Spot-tailed Crake
Stripe-backed Flycatcher
White-bellied Brownbill
Ashy Parrot
Pale-breasted Pitta
Chipe Bush Warbler
Red-crowned Woodpecker
White-tailed Imperial
Ashy Fantail
Black Manakin
Russet Woodpecker
Black-bellied Partridge
Pine Dove
Green-breasted Woodpecker
Black-bellied Flycatcher
Spotted Shrike-Tyrant
Green-crowned Shrike-Petrel
Southern Pigeon
Speckle Shag
Pine Honeyeater
Spotted Shriketail
Gray-headed Woodstar
Black-backed Scrubwren
Black-chested Barbet
Streaked Babbler
Spectacled Scops-Owl
Green-breasted Parrot
Camerian Babbler
Southern Starling
Santa Cuckoo
Great Stripe-eye
Rufous-breasted Woodpecker
Black-crowned Quail
Black-crowned Woodpecker
Little Lone-eye
White-breasted Falcon
Black-collared Fruit-Dove
Spotted Scrubfowl
Bare-billed Woodpecker
White-tailed Starling
Black-billed Woodpecker
Rufous-throated Barbet
Black-chested Barbet
Markerain Woodpecker
Gray-bellied Spinetail
Common Capacarro
Black-capped Babbler
Black-billed Antwren
Pale-chested Fruit-Dove
Black-chested Warbler
Stripe-spotted Parrot
Black-collared Tapaculo
Rufous-breasted Babbler
Red-billed Parakeet
Black-breasted Bush Parrot
Pale-breasted Spinetail
Black-breasted Parrot
Black-breasted Woodpecker
Rofornean Warbler
White-cheeked Thornbill
Spotted Bush Trogon
Marian Treener
Black-browed Parrot
Rufous-crowned Shrike
Chestnut-bellied Swift
White-breasted Treecreeper
Sidal Cormorant
Brown-crowned Tyrannulet
White-throated Fruit-Dove
Black-throated Woodpecker
Mountain Bush-Dove
Green-bellied Parakeet
Spot-breasted Parrot
Scalit-crested Fruit-Antbird
Rufous-breasted Wren
Searrous Manakin
Black-billed Brown-Pigeon
Scallow-backed Woodpecker
Suland's Swift
Black-breasted Woodpecker
Streak-bellied Woodpecker
Short-tailed Starling
Amital Greater
Snotted Tinamou
Streaked Pigeon
Sumalian Collow
Bare-breasted Scrillee
Maray-cheeked Pitta
Common White-eye
Tating Brown-Tyrant
Spotted Swift
Red-breasted Bulbul
White-breasted Antbird
Southern Babbler
Brown-breasted Flycatcher
Striated Grasswren
Black-capped Bush-Flycatcher
Black-winged Woodpecker
Scollow-billed Greenbul
Brown-billed Parakeet
Black-breasted Fantail
Pale-tailed Tinamou
Streak-winged Tody-Dove
Sanda Spinetail
Black-breasted Parrot
Rufous-bellied Parakeet
White-breasted Monarch
Gray-billed Fantail
Black-backed Hermit
Black-browed Swift
Copperanu White-eye
Black-breasted Swift
White-headed Scops-Owl
Rufous-fooded White-eye
White-breasted Greenbul
Parian Parrot
Black-backed Thornbill
Streak-fronted Honeyeater
Black-billed Parrot
Black-breasted Thornbill
Rufous-throated Canakin
Sala Grasson
Bare-bellied Parrot
Black-tailed Fantail
Screen Greenbul
Red-collared Woodpecker
Black-throated Tit-Petrel
Speckle-breasted Bulbul
Capain Bush Warbler
Scowl Cuckoo-Parrot
Black-tailed Woodpecker
Red-bellied Cuckoo
Cinumon-breasted Lark
Roby Flycatcher
Speckled Barbet
Chestnut-bellied Fantail
Yellow-billed Bulbul
Black-tailed Barbet
Black-billed Parrot
Speckle-breasted Parakeet
White-breasted Thornbill
Black-tailed Sperbird
Marchian Scops-Owl
Black-crested Bush Warbler
Black-tailed Parakeet
Black-billed Fruit-Dove
Black-capped Parrot
Long-tailed Woodpecker
Caintan Parakeet
Chestnut-bellied Bush Corand-Paradise
Black-billed Mountaine
Searroo Tarake
Black-backed Flycatcher
Lark-creened Manakin
Sulaba Woodpecker
Black-backed Parakeet
Black-cheeked Antbird
Chestnut-tailed Friat-Parrot
Black Scops-Owl
Sooty Starling
Sula Spinetail
Striated Barbet
White-breasted Manakin
Pale-fronted Parakeet
White-breasted Antbird
Black-crowned Manakin
Stripe-backed Woodpecker
Red-billed Flycatcher
Striated Babbler
Short-tailed Parrot
Red-cheeked Tit
Black-throated Parrot
Madagascar Swift
Black-breasted Woodpecker
Black-tailed Screar
Gray-headed Bulbul
White-throated Parrot
Spotted Francolin
Roby-crowned Parrot
Mager Cinacola
Suntan Babbler
Gray-browed Jay
Spine Fruit-Dove
Pale-chested Parrot
Langa Parrot
Black-crowned Woodpecker
Black-capped Woodpecker
White-faced Tit
Cringon's Treecola
Rufous-backed Parakeet
White-throated Tit
Black-backed Sumperner
Black-fronted Cory Marron
Chestnut-billed Scrubwren
Black-throated Tit
Tarpsting Whistler
Yellow-billed Bush Warbler
Southern Flycatcher
Doad-billed Bulbul
Blue-billed Warbler
Rufous-faced Grasswren
Rosser-chested Woodpecker
Rufous-siled Bush Babbler
Sanda Bush Stornbill
Black-capped Tit-Dove
Rufous-tailed Woodpecker
Southern Parakeet
Stripe-breasted Cuckoo
Black-backed Nightjar
Red-billed Parrot
White-breasted Lorikeet
Gray-collared Treeper
Streaked Partridge
Chestnut-billed Parrot
Red-billed Cuckoo
Red-billed Swallow
Speckled Parakeet
Mathace Cuckoo
Smecher Woodpecker
Black-backed Swallow
Banded Parrot
Rufous-tailed Barbet
Southern Shrike
Lesser Wren
Speckled Swift
Black-breasted Short-tailed Starling
Red-billed Tit
Streaked White-eye
Caned Fruit-gleare
Spot-billed Starling
Black-throated Bulbul
Sanda Coody-Greener
Black-cheeked Parrot
Green-browed Woodpecker
Black-browed Woodcreeper
Greater Tit
Band-billed Woodpecker
Rufous-winged Cuckoo
Chestnut-breasted Scops-Owl
White-throated Ground-Pigeon
Black-breasted Woodpecker
Collared Cuckoo
Great Honeyeater
Bare-crowned Woodpecker
Red-bellied Parrot
Red-winged Babbler
White-breasted Swiftlet
Black-throated Manakin
Red-crowned Flycatcher
Black-throated Woodpecker
Yellow-cheaked Manakin
Spotted Bush Warbler
Serican Babbler
Black-throated Tit
Shestnut's Antpitta
Green Swallow
Striated Woodpecker
Black-cheeked Turblet
Red-billed Woodpecker
Black-billed Corobird
Black-chested Hermit
White-chested Ground Woodpecker
Straling-bleasted Spotted Swallow
Rufous-backed Barbet
White-crowned Peatail
Sunda Bearded Barbet
Black-breasted Barbet
Red-bellied Woodpecker
Black-bellied Duck
Maskered Tyrannulet
Sunder Barbet
Blue-chested Parrot
Rufous-throated Spinetail
Martaced Flycatcher
Chestnut-breasted Barbet
Starlen-breasted Hornbill
White-tailed Flycatcher
Scalled Starling
Chestnut-breasted Parakeet
Black-bellied Parrot
Black-billed Antshrike
Black-throated Tit
Short-tailed Wren
White-breasted Cuckooshrike
White-billed Woodpecker
Sula Friat Warbler
Black-collared Parrot
Crested Tyrannulet
Spotted Spinetail
Chestnut-backed Pigeon
Black-chested Cuckoo
White-chested Tataculo
Black-breasted Greenbul
Black-chested Woodpecker
Black-cheeked Woodcreeper
Gray-breasted Manakin
Sinder-throated Bulbul
Marrite Starling
Red-billed Cuckoo
Southern Cormorant
Sandan Cuckoo
Sellord Barbet
Black-breasted Bulbul
Camarian Scrubfowl
Gray White-eye
Sulita Coody-Owl
Sanda Bush Scrubwren
White-tailed Barbet
Rufous-breasted Barbet
Black-crested Barbet
Spotted Lark
Black-cheeked Woodpecker
Lesser Mango
Orange-crowned Bush Tyrannulet
Sulaba Pitta
Short-tailed Sw	
