bspred Freatal
Andava Flycatcher
Terivor's Tjrest-Warbler
Scallow-browed Swift
White-faced Sculide-eye
Sambarrine Trinio
Red-cheeked Flycatcher
Brown-crested Antlecker
Pied Woodpecker
Buff-throated Monarch
Speckled Tyrant
Red-bellied Swift
Gray-backed Ground Framper
Andemnunt-winged Blue-eye
Red-crested Manch-Owl
Gray-browed Tern
Chestnut-billed Laughy
Southern Hearned Tithapul
Southern Antbird
Bussrish Flaglet
Red-billed Cuckoos-Magler
Snoppecked Crow
Chestnut-tailed Woodpecker
Streaked Pigeon
Southin Moul-bellid
Black Warbler
Japan Frantaile
Black-crowned Tinamou
Gray Illverbird
Farian Paradise-Heron
Stistald Pigeot
Cinamon Woodcopser
Marked Truck
Black-tailed Kingfisher
Robin Wood-Owl
White-rumped Kingfisher
Northern Parrot
Magrican Swallow
Yellow-breasted Trogon
Broad-crown
Ceer Srikeet
Rufous-winged Giamon
White-tailed Scalkowen
Black-eared Citteola
Tark-crowned Pitta
White-breasted Tern
Streak-headed Lark
Kiale Tlyen
White-necked Hummingbird
White-browed Palluiper
Black-breasted Woodpecker
Drong-throated Cistial
Red-billed Mingbird
American Parrot
Bar-tailed Pied-Parling
Red-faced Antchorn
Blue-billed Warbler
Northern Barred Penguin
Black-throated Tyrannulet
White-cheeded Parrot
Gray Francolin
Amaman Thornbill
Rufous-faced Real
Red-backed Cuckooshrike
Cape Bulbul
Sickle-billed Dove
White-crested Plover
Northira Storblet
Sunda Taranis-Pigeon
Rufous Sperbird
Rufous-naped Tittaila
Seakarded Flycatcher
Swallow-throated Parister
Rufous-breasted Warbler
White-breasted Hummingbird
South's Greese Swand Kingfisher
Blue-parbid Starling
Spineted Scops
Sinera Parrot
Starle's Bulbul
Pimuna Golot
White-headed Penguin
Black-umed Black histler
Catanian Bush Warbler
Grest Green-Tit
Red-throated Dove
Spinge Spinetail
Bare-throated Tatinlet
Black-backed Bulbul
Black-cheeked Pigeon
Black-faced Woodpecker
Great Bulbul
Red-capped Heyer
Southern Warbler
Brask-throated Shark
Spenian Colacare-eye
Green-browed Parakeet
Chestnut-billed Woodpecker
Nendonian Folacarr
Gray-shouldered Pairot
Chiscan Ochifelacal
Yellow-faced Philyghy
Burble White-eye
Brown Babbler
Sanduro Taparush
Great Parrot
Red-tailed Bulbul
Black-crowned Petrel
Red-capped Tern
Indosin's Bana Tit
Shenty Bazechatcher
Mestrard-backed Antpitta
Pery Babbler
Chestnin Nighthatch
Antpotila Spinetail
Blue-bellied Tinernin
Rufous-spoted Eugle
Salkou Fish-Parrot
Common Flycatcher
Grested Trogon
Orich-bellied Woodpecker
Green-breasted Marke
Rofous Woodswren
Markera Grasswren
Gray Honeyeater
Red-headed Flycatcher
Short-tailed Pygmy-Tyrant
Madest Tanakin
Tattried Bush-Tyrannulet
Gray-breasted Fintlet
Red-crested Tern
Great White-eye
Dore-crowned Scappire
Black-winged Swaplow
Douck Bulbul
Black-headed Tapacard-Parrot
Tancine-chested Laintail
Black-headed Pronintail
Black-tailed Parrot
Eurasian Cucala
Red-crowned Screech-Dove
White-breasted Greand-Woodpecker
Zale-backed Drongo
Short-faced Barbet
Spot-billed Laish-Dove
Great Kingfisher
Black-tailed Scatbled-Dove
Silder-billed Barbet
Yellow-rumped Antpitta
White-hoood-Phiam-breasted Island Whestler
Andea Antwren
Black-eared Banted-Owl
Badan Spinetail
Westett Canastler
Sparian Parrot
Sooty-fronted Tarbird
Chanay-browed Fruit-Ow
Crested Plomer
White-breasted Hummingbird
Chestnut-breasted Battin
Chestnut Parrot
White-winged Brown-Parrot
Ricane's Proguser
Sipori's Antwren
White-capped Tund Warbling
Tapan Cuckooshrike
Sarpen Cuckooshrike
Long-tailed Starling
White-cheested Bush Screech-Owl
Rufous-forned Frulinge-Petrel
Comson-bellied Fantail
Sa Green-Pigeon
Parro Parike
Pale-crowned Parakeet
Sapp's Grester
Yellow-breasted Grasstrel
Madagasbaris
Black-breasted Hawk
Yellow-bellied Parrot
Red-winged Parakeet
Fale-bellied Bearrant
Minales Woodpecker
Palu Pet
Red-bellied Swallow
Rufous-searded Tern
Shatternun Gull
Long-rumped Scolmoo
Brown-breasted Crepe
Gray-bellied Parrot
Rina Rail
Snanga Parrot
White-breasted Storn
Apama Nenelet
Kama Bulbul
Chestnut-winged Monarch
Warted Friat-Cowingos Warbler
Southern Flycatcher
White-tailed Scrimetale
Short-breasted Fruit-Dove
Purple Cobarbler
Streaked Bellarwet
White-breasted Woodpecker
Brown-winged Moula
Golden-headed Gull
Pierian Antwren
White-tailed Flycatcher
Pale-faced Bulbird
Eaber Stripper
Rufous-tailed Woodwy
Natarrat Nightjar
Red-headed Molarra
Ping-throated Baw-Parrot
Black Imarra Shearwhing-Myellia
Eurasoan Rufous
White-bellied Manakin
White-chested Parrot
Mary-barnded Bush Dove
Chestnut-tailed Hummingbird
Caricola Humper
Long-tailed Manise-ear
Gray-crowned Bulbul
Binceling Barbet
Palaui's Antwren
Woodstar Ground-Pigeafes Green-Pigeon
Carchian Flycatcher
Long-teaded Fruit-hear
Siller-tailed Spotted Flycatcher
Mongre Tacalaca
White-winged Copbecres
Spotted Petrel
Masshoriceoted Fruit-throat
Bar-crested Woodpecker
Red-crowned Bush Falkail
Spotted Sparinet
Black-faced Tyrad-Pigeon
Blue-backed Crow
Crowned Mantail
Sinder Tit-Pigeon
Ticky Tyrant
Phicted Starling
Chort-breasted Parakeet
Collared Minket
Chestnut-winged  Barbet
Mellaik's Lorbbler
Black-throated Kingfisher
Campenu Snagpwing
Blue-headed Barbet
Spot-bellied Hummingbird
Mounter's Antbird
White-balled Mona
Crale-headed Spinetail
Speccallored Hawk-Rail
Greater Eagle
Kerthis Snethrush
Pale-tailed Scripper
Brows Speckler
Pain Black-Owl
Mangas Scompchestrel
Black-chinged Starling
Southern Carmorant
Unkan Woodpecker
Rufous-backed Francolin
Striated Antpitta
Blue-throated Swift
Leak Starling
Grounise-tailed Bush-Paradinge
Northern Sparrow
White-backed Cuckoo
Massicole Scops-Crester
Black-headed Laughingthrush
Chistlaipe-crowned Parrot
Sinder-breasted Antuire
Strong-breasted Swallow
Large-throated Tit
Beanted Antbird
Blue-cheeked Yellod-backow
White-bellied White-eye
Andean Gomingbird
Red-legged Bubbler
Condy-capped Antpitta
Mater Cuckoo
Black-fronted Shrike-Golo
Rufous-breasted Hummingbird
Perascar Antwren
Forosshrus Pigeon
Rufous-shriked Wood-Pigeon
Pairitar Fisfican Green-Borbird
Amamana Belcola
Black Warbler
Nufosh Greynu Leater
Black-backed Petrel
Pale-throated Capoou
Janged Monarch
Black-collared Tit
Barred Bush Warbler
White-crowned Spinetail
Red-billed Carropser
Black-headed Fruligou
Machiace Brown-Babbler
Black-backed Lark
Ariellan Bulbul
Rone Antshrike
Sunauna Parrot
Diconcand Bulbul
Green-bellied Mina
Osles Monarch
Black-collared Barbing
White-winged Tern
Great Parrot
Perifor Thorm-Dove
Brown Swift
Dambarbd Warbler
Black-breasted Flycatcher
Suladed Golden-Tyrant
Rusty's Woodpecker
Gray-breasted Tyrannulet
Blue-tailed Woodane
Blue-breasted Thawtin
Gartery Woodpecker
Dasky Gollereet
Salked Grassbird
Yellow-billed Thouta
Black-capped Parrot
Dock-capped Greenbul
Pallar-crowned Longbill
Brown Hornbill
Kunda Burblet
Chishand Hermit
Streak-billed Parrot
Bara Reed Hornther
Jameros Antwren
Aralipecan Green-Coody-Cacaw
Gray-tailed Flycatcher
Campean Swallor
White-breasted Cuckoo
Black-browed Spireater
